X DEV,Y DEV,DEPTH,TVD
-10.046,53.57763,10376.500332047992,9919.92773
-10.08744,53.78602,10377.000332063992,9920.38086
-10.12889,53.99434,10377.500332079991,9920.83301
-10.17035,54.20258,10378.000332095991,9921.28613
-10.21181,54.41076,10378.500332111991,9921.73828
-10.25327,54.61886,10379.000332127991,9922.19141
-10.29474,54.82689,10379.500332143989,9922.64453
-10.33622,55.03485,10380.000332159989,9923.09668
-10.3777,55.24274,10380.500332175989,9923.5498
-10.41918,55.45055,10381.000332191988,9924.00293
-10.46067,55.6583,10381.500332207988,9924.45605
-10.50216,55.86597,10382.000332223988,9924.9082
-10.54366,56.07358,10382.500332239988,9925.36133
-10.58516,56.28111,10383.000332255988,9925.81445
-10.62667,56.48857,10383.500332271988,9926.26758
-10.66818,56.69596,10384.000332287987,9926.7207
-10.7097,56.90327,10384.500332303987,9927.17383
-10.75122,57.11052,10385.000332319987,9927.62695
-10.79275,57.31769,10385.500332335987,9928.08008
-10.83428,57.52479,10386.000332351987,9928.5332
-10.87581,57.73182,10386.500332367987,9928.98633
-10.91735,57.93878,10387.000332383986,9929.43945
-10.9589,58.14567,10387.500332399986,9929.89258
-11.00045,58.35249,10388.000332415986,9930.34668
-11.042,58.55923,10388.500332431986,9930.7998
-11.08356,58.7659,10389.000332447986,9931.25293
-11.12513,58.9725,10389.500332463986,9931.70605
-11.16669,59.17903,10390.000332479985,9932.16016
-11.20827,59.38549,10390.500332495985,9932.61328
-11.24984,59.59188,10391.000332511985,9933.06641
-11.29143,59.79819,10391.500332527985,9933.52051
-11.33301,60.00444,10392.000332543985,9933.97363
-11.3746,60.21061,10392.500332559985,9934.42773
-11.4162,60.41671,10393.000332575984,9934.88086
-11.4578,60.62274,10393.500332591984,9935.33496
-11.4994,60.82869,10394.000332607984,9935.78906
-11.54101,61.03458,10394.500332623984,9936.24219
-11.58262,61.24039,10395.000332639984,9936.69629
-11.62424,61.44614,10395.500332655984,9937.15039
-11.66586,61.65181,10396.000332671983,9937.60352
-11.70749,61.8574,10396.500332687983,9938.05762
-11.74912,62.06293,10397.000332703983,9938.51172
-11.79076,62.26839,10397.500332719983,9938.96582
-11.8324,62.47377,10398.000332735983,9939.41895
-11.87404,62.67908,10398.500332751983,9939.87305
