,DEPTH,TVD,Rt,density_porosity,GR,Sw,Vshale
145,11406.00036499188,10325.82813,9.39246,0.2320441988950276,86.238,0.3251277844442518,0.4565141836583347
146,11406.500365007882,10326.28125,8.91198,0.22375690607734794,86.679,0.3461393129108142,0.46409030791253775
147,11407.00036502388,10326.73535,8.59315,0.2171270718232043,84.238,0.3632656265021399,0.4230524302442635
148,11407.500365039881,10327.188479999999,8.75352,0.22265193370165748,81.515,0.350991534368007,0.37977102127234025
149,11408.00036505588,10327.64063,8.68511,0.22762430939226516,79.829,0.3446737223386911,0.3542287058864348
150,11408.500365071879,10328.09375,8.68235,0.22375690607734794,79.673,0.3506867719069599,0.35191233374186176
151,11409.00036508788,10328.54688,8.359160000000001,0.22541436464088396,79.53699999999999,0.3547738247004383,0.34989933151355235
152,11409.500365103879,10329.0,8.35829,0.22375690607734794,77.559,0.3574203791410583,0.32128483290839294
153,11410.00036511988,10329.45313,8.15405,0.22762430939226516,75.322,0.35572071039359177,0.29037198942266396
154,11410.500365135878,10329.90625,7.7951,0.22265193370165748,76.22399999999999,0.3719436601441069,0.3026560522103433
155,11411.000365151878,10330.3584,8.2387,0.21270718232044186,77.58800000000001,0.3787066908051698,0.3216955326867945
156,11411.500365167878,10330.811520000001,8.34039,0.21270718232044186,76.1,0.3763909244179935,0.30095302035639404
157,11412.000365183876,10331.26465,9.83352,0.2193370165745855,75.062,0.3361615539194208,0.28687561907413583
158,11412.500365199878,10331.7168,12.80524,0.22375690607734794,73.563,0.28876474368763505,0.2670985797206819
159,11413.00036521588,10332.16992,16.52909,0.2298342541436464,71.675,0.24744304378318485,0.2430889688024825
160,11413.500365231876,10332.62207,21.29743,0.23867403314917124,71.058,0.20991607894663744,0.2354538353911699
161,11414.000365247875,10333.0752,24.42449,0.2502762430939225,70.689,0.1869313308839876,0.2309363007673145
162,11414.500365263877,10333.52734,24.14507,0.2585635359116022,67.623,0.1819838986036677,0.194769330132581
163,11415.000365279875,10333.98047,23.73486,0.2524861878453038,68.184,0.18796782441430815,0.20120806756463705
164,11415.500365295877,10334.43262,24.51899,0.2403314917127072,68.553,0.1942909209533166,0.2054861840538209
165,11416.000365311875,10334.88477,26.911309999999997,0.2342541436464088,69.915,0.19026538137570773,0.22157740310307053
166,11416.500365327876,10335.33789,29.86027,0.2342541436464088,70.156,0.18062602737518668,0.2244746147021217
167,11417.000365343876,10335.79004,33.22614,0.2419889502762429,70.148,0.16575971686512395,0.2243781979490997
168,11417.500365359876,10336.24219,36.20763,0.2430939226519337,68.946,0.15806667807582975,0.21008044694449915
169,11418.000365375876,10336.69434,39.05607,0.2430939226519337,67.684,0.15219350025405734,0.19546564370677258
170,11418.500365391876,10337.14648,44.33961,0.2430939226519337,66.477,0.14283822382820247,0.18185792832943723
171,11419.000365407876,10337.59863,51.361270000000005,0.2497237569060773,66.207,0.12919233281222026,0.17886250684377442
