,DEPTH,Rt,GR,TVD,density_porosity,Sw,Vshale
29,10614.500339663902,17.285999999999998,67.70100000000001,10136.94238,0.2099447513812154,0.2648879492956682,0.31892996634702836
30,10615.000339679902,17.678,67.335,10137.39844,0.20828729281767944,0.2640189728285776,0.31347219808827065
31,10615.500339695902,17.977999999999998,65.87,10137.85449,0.20773480662983415,0.26250314991630075,0.2920819458877121
32,10616.000339711902,18.283,67.21300000000001,10138.31055,0.2149171270718231,0.2516052628951274,0.3116631615955179
33,10616.500339727902,18.698,65.259,10138.7666,0.22375690607734794,0.2389683864381735,0.2833723180322398
34,10617.0003397439,18.698,64.161,10139.22266,0.2259668508287292,0.2366312873043038,0.26802597247352145
35,10617.5003397599,19.016,63.062,10139.67871,0.22541436464088396,0.23521949033769435,0.253050131850625
36,10618.0003397759,19.338,62.695,10140.13477,0.22044198895027625,0.23851427604923564,0.24813309871992772
37,10618.500339791899,19.666,61.718999999999994,10140.59082,0.22265193370165748,0.2341693166148977,0.23525757169828068
38,10619.0003398079,19.887999999999998,61.596000000000004,10141.04688,0.22762430939226516,0.2277719712441889,0.2336554179104472
39,10619.5003398239,20.0,63.672,10141.50293,0.2320441988950276,0.22280696550501072,0.26131555185073474
40,10620.0003398399,19.887999999999998,63.428000000000004,10141.95898,0.22762430939226516,0.2277719712441889,0.2579954154422594
41,10620.5003398559,20.113,62.94,10142.41504,0.2243093922651932,0.2298415764200507,0.2514109639599907
42,10621.0003398719,20.226,63.306000000000004,10142.87109,0.22541436464088396,0.22807510713384035,0.2563423445446095
43,10621.5003398879,20.113,64.649,10143.32715,0.2259668508287292,0.22815569688640724,0.2747985881360623
44,10622.0003399039,20.34,67.335,10143.7832,0.2176795580110498,0.2355165093739788,0.31347219808827065
45,10622.5003399199,20.685,70.998,10144.23926,0.21602209944751385,0.23533608918261376,0.37022929114008934
46,10623.0003399359,20.685,71.487,10144.69531,0.2243093922651932,0.2266414060847341,0.37817569650899774
47,10623.5003399519,20.801,70.021,10145.15137,0.22375690607734794,0.2265666179725016,0.35461877695289856
48,10624.0003399679,20.801,67.457,10145.60742,0.22375690607734794,0.2265666179725016,0.31528633478503715
49,10624.5003399839,20.569000000000003,67.09100000000001,10146.063479999999,0.22928176795580116,0.2223506310126096,0.3098592109682333
50,10625.0003399999,20.801,65.259,10146.51953,0.2359116022099448,0.2148933964376185,0.2833723180322398
51,10625.500340015898,20.685,61.963,10146.97559,0.22375690607734794,0.22720101449481986,0.23844931808723907
52,10626.000340031898,20.801,57.68899999999999,10147.43164,0.21823204419889505,0.2323024817186408,0.18506001751930998
53,10626.500340047898,20.918000000000003,55.98,10147.8877,0.22541436464088396,0.2242708399819666,0.16514259318307384
54,10627.000340063898,20.569000000000003,55.369,10148.34375,0.2287292817679556,0.22288770983148085,0.15821021433728674
55,10627.500340079898,20.685,55.736000000000004,10148.7998,0.2243093922651932,0.2266414060847341,0.16236245160575744
56,10628.000340095898,20.569000000000003,56.224,10149.25586,0.2193370165745855,0.23243201982426465,0.16793843292576566
57,10628.500340111896,20.34,54.75899999999999,10149.71191,0.2176795580110498,0.2355165093739788,0.15138600270068847
58,10629.000340127895,20.454,56.346000000000004,10150.16797,0.2298342541436464,0.22243882670634252,0.16934226728968202
59,10629.500340143897,20.226,55.369,10150.624020000001,0.23701657458563524,0.21691059140001606,0.15821021433728674
60,10630.000340159897,19.666,58.3,10151.08008,0.2337016574585636,0.22309748131395687,0.19237365223014546
61,10630.500340175897,19.338,61.108000000000004,10151.53613,0.2337016574585636,0.2249815511670095,0.22734352898329002
62,10631.000340191897,19.016,58.788000000000004,10151.99219,0.2281767955801104,0.23237179675007094,0.1982895089682059
63,10631.500340207895,18.594,59.887,10152.44824,0.22265193370165748,0.2408250131247517,0.21185880439730448
64,10632.000340223896,18.079,61.23,10152.9043,0.22486187845303868,0.2418307041737527,0.22891484372173215
65,10632.500340239896,18.079,61.352,10153.36035,0.22762430939226516,0.23889586553086745,0.23049058845689788
66,10633.000340255896,17.678,65.382,10153.81641,0.22099447513812148,0.2488378818909343,0.28511578886825295
