Sample	Depth	Water Content	Oil Content	Interconnected Porosity	Average Interconnected Porosity	Air Permeability	Air Permeability	Grain Density	Lithology Code
		% of pore volume	% of pore volume	% bulk volume	% bulk volume	horizontal	vertical		
	(feet)	(%)	(%)	(%)	(%)	mD	mD	g/cc	
168	10504.6			30.4	29.6	2200.0		2.62	20
169	10505.4			27.8	28.5	1400.0		2.62	20
170	10506.4			27.9	27.7	3100.0		2.62	20
									
171	10507.5			27.1	26.8	1100.0		2.62	20
172	105098.6			25.2	26.4	530.0		2.64	20
173	10509.3	42	20	27.9	25.1	1700.0		2.63	20
174	10510.6			19.3	21.5	69.0		2.69	20
175	10511.0			19.4	18.8	90.0		2.70	20
									
176	10512.0			16.8	17.3	55.0		2.71	20
177	10512.2			16.1	15.4	27.0		2.67	20
178	10513.1			12.6	14.9	2.2		2.66	20
179	10513.2			18.4	17.1	110.0		2.71	20
180	10514.2			18.9	19.7	230.0		2.70	20
									
181	10515.3	39	23	22.7	21.0	970.0		2.66	20
182	10516.2			19.8	20.3	160.0		2.66	20
183	10516.9			18.6	18.1	51.0		2.72	20
184	10517.5			15.3	16.1	6.0		2.75	20
185	10518.4			15.0	15.3	6.9		2.69	20
									
186	10519.5			16.0	16.8	16.0		2.69	20
187	10520.2			20.4	19.8	67.0		2.70	20
188	10521.2			22.6	23.1	180.0		2.65	20
189	10521.9	49	24	26.9	25.1	770.0		2.64	20
190	10522.9			24.1	24.0	1300.0		2.65	20
									
191	10523.9			20.8	20.9	380.0		2.66	20
192	10524.9			18.0	20.6	130.0		2.67	20
193	10525.8			25.6	23.1	1100.0		2.63	20
194	10526.6			23.1	24.6	660.0		2.64	20
195	10527.6			26.4	25.1	1800.0	1600	2.63	20
									
196	10528.4			24.5	25.1	740.0		2.63	20
197	10529.9	50	25	25.0	23.6	1500.0		2.62	20
198	10530.6			19.8	20.9	220.0		2.67	20
199	10531.4			18.9	18.4	210.0		2.69	20
200	10532.3			16.2	17.5	130.0		2.70	20
									
201	10533.3			18.7	18.4	110.0		2.69	20
202	10534.3			20.0	17.7	240.0		2.68	20
203	10535.3			12.1	14.4	9.8		2.72	20
204	10536.3			13.4	13.6	72.0		2.72	20
205	10537.6	31	21	15.7	15.6	94.0		2.70	20
									
206	10538.4			17.8	16.4	61.0		2.69	20
207	10539.4			14.3	17.7	70.0		2.71	20
208	10539.9			24.4	19.5	510.0		2.64	20
209	10541.0			14.9	17.3	63.0		2.71	20
210	10541.9			15.1	14.5	22.0		2.67	20
									
211	10542.6			12.7	13.9	29.0		2.71	20
212	10543.5			15.0	15.1	20.0		2.70	20
213	10544.6			17.6	16.3	32.0		2.69	20
214	10945.3			15.0	15.3	120.0	99	2.71	20
215	10546.1	21	21	13.6	12.6	34.0		2.71	20
									
216	10547.0			8.2	10.4	1.3		2.72	20
217	10548.3			11.5	12.9			2.69	20
218	10549.5			20.5	18.4	420.0		2.68	20
219	10550.3			21.2	19.6	420.0		2.67	20
220	10551.3			15.4	17.3	97.0		2.71	20
									
221	10552.5			17.2	16.0	27.0		2.69	20
222	10553.4			14.1	16.1	37.0		2.70	20
223	10554.1	43	26	18.9	18.3	240.0		2.67	20
224	10555.1			21.1	18.5	530.0		2.66	20
225	10556.1			12.9	15.8	7.4		2.71	20
									
226	10556.8			16.4	15.9	51.0		2.73	20
227	10557.8			17.9	17.1	39.0		2.69	20
228	10559.0			16.1	17.0	41.0		2.73	20
229	10559.6			18.0	17.9	75.0		2.69	20
230	10560.6			19.4	17.9	150.0		2.69	20
									
231	10561.6			15.0	16.7	42.0		2.72	20
232	10562.9	26	19	17.6	17.0	62.0		2.70	20
233	10563.8			17.9	17.7	6.6		2.69	20
234	10564.7			17.5	17.3	110.0		2.69	20
235	10565.3			16.3	17.6	69.0		2.69	20
									
236	10566.3			20.5	20.3	250.0		2.67	20
237	10567.4			24.2	22.6	970.0	400	2.65	20
238	10568.5			21.6	21.2	400.0		2.66	20
239	10569.7	34	20	17.4	20.2	1200.0		2.70	20
240	10570.9			24.3	22.0	780.0		2.64	20
									
241	10572.6	43	26	22.1	22.1	560.0		2.65	20
242	10573.6			19.8	20.3	200.0		2.66	20
243	10574.5			19.6	19.9	200.0		2.67	20
244	10575.2			20.6	18.7	410.0		2.66	20
245	10576.2			14.2	16.8	6.3		2.67	20
									
246	10577.2			18.1	18.4	41.0		2.69	20
247	10577.7			22.9	20.4	190.0		2.66	20
248	10578.8			17.6	20.1	40.0		2.72	20
249	10579.5			22.5	19.7	150.0		2.66	20
250	10580.2	36	21	16.2	18.8	32.0		2.70	20
									
251	10580.6			20.4	19.1	65.0		2.65	20
252	10581.6			19.6	20.9	49.0		2.66	20
253	10582.5			24.2	23.6	380.0		2.65	20
254	10583.5			26.3	24.7	270.0		2.64	20
255	10584.2			22.0	23.5	160.0		2.67	20
									
256	10585.2			23.7	23.1	120.0		2.65	20
257	10585.9			23.1	24.1	180.0	140	2.66	20
258	10586.8	46	23	26.5	25.5	760.0		2.63	20
259	10588.1			26.0	25.7	1000.0		2.64	20
260	10589.1			24.3	24.6	680.0		2.65	20
									
261	10590.4			23.7	24.6	500.0		2.63	20
262	10591.0			26.6	25.8	1300.0		2.64	20
263	10592.0			26.4	26.4	1300.0		2.64	20
264	10593.0			26.3	26.1	1000.0		2.64	20
265	10593.3			25.4	26.4	500.0		2.64	20
									
266	10594.1			28.4	27.2	1300.0		2.63	20
267	10595.1	40	18	26.5	26.2	1700.0		2.63	20
268	10596.1			23.4	25.0	410.0		2.66	20
269	10597.1			26.7	25.9	720.0		2.65	20
270	10598.2			26.9	26.9	1400.0		2.64	20
									
271	10599.2			27.1	27.1	1400.0		2.63	20
272	10600.1			27.1	27.0	1600.0		2.64	20
273	10601.1			26.8	27.0	1900.0		2.64	20
274	10602.2			27.4	27.1	2400.0		2.63	20
275	10603.4	51	22	26.7	27.3	1700.0		2.63	20
									
276	10604.2			28.3	27.7	2600.0		2.63	20
277	10604.9			27.4	27.6	2400.0		2.63	20
278	10606.0			27.2	26.8	1900.0		2.63	20
279	10607.1			25.4	25.7	1000.0	970	2.64	20
280	10608.1			24.9	24.3	720.0		2.64	20
									
281	10609.0			21.6	22.9	180.0		2.66	20
282	10610.0			23.5	23.3	830.0		2.66	20
283	10611.1	47	18	24.8	24.8	950.0		2.64	20
284	10612.0			26.1	26.2	1500.0		2.64	20
285	10612.8			27.6	26.9	810.0		2.64	20
									
286	10613.6			26.1	26.2	1400.0		2.64	20
287	10614.7			25.1	25.6	1000.0		2.65	20
288	10615.6			26.2	23.6	2200.0		2.63	20
289	10616.3			16.9	21.5	6.7		2.66	20
290	10617.5			26.3	24.3	1600.0		2.65	20
									
291	10618.2			27.6	27.1	1700.0		2.63	20
292	10618.9	47	22	27.0	27.1	1900.0		2.63	20
293	10619.1			26.9	26.9	1000.0		2.63	20
294	10620.2			27.0	26.4	1900.0		2.63	20
295	10620.8			24.6	25.5	910.0		2.65	20
									
296	10621.9			25.9	25.9	1100.0		2.64	20
297	10623.0			27.2	26.8	1700.0		2.63	20
