Depth,Porosity,Saturation 
10535.22,0.204286,0.268639
10535.66,0.237319,0.273093
10536.1,0.257911,0.294878
10536.54,0.276364,0.29542
10536.98,0.283637,0.284759
10537.43,0.282002,0.292004
10537.87,0.256999,0.318683
10538.31,0.251073,0.32126
10538.75,0.263521,0.306061
10539.19,0.26489,0.304714
10539.63,0.273366,0.32664
10540.08,0.256256,0.332365
10540.52,0.250719,0.331536
10540.96,0.230635,0.345489
10541.4,0.21108,0.364158
10541.84,0.247607,0.337415
10542.28,0.264242,0.307228
10542.73,0.278788,0.277628
10543.17,0.292727,0.250937
10543.61,0.283637,0.250219
10544.05,0.283637,0.240175
10544.49,0.278788,0.235304
10544.93,0.280253,0.229517
10545.37,0.252813,0.229818
10545.82,0.249727,0.228203
10546.26,0.249813,0.233817
10546.7,0.25697,0.249442
10547.14,0.253673,0.250928
10547.58,0.255549,0.240214
10548.02,0.242749,0.236579
10548.46,0.199496,0.239524
10548.9,0.1837,0.246341
10549.34,0.188036,0.235056
10549.79,0.192812,0.223293
10550.23,0.210029,0.209879
10550.67,0.259047,0.195464
10551.11,0.292727,0.185748
10551.55,0.272727,0.196643
10551.99,0.266667,0.199031
10552.43,0.266667,0.198444
10552.87,0.278788,0.188885
10553.31,0.276364,0.189374
10553.75,0.276364,0.190385
10554.19,0.278788,0.188885
10554.63,0.260606,0.202163
10555.07,0.25697,0.20533
10555.52,0.264242,0.198595
10555.96,0.271515,0.192133
10556.4,0.278788,0.192195
10556.84,0.276364,0.203231
10557.28,0.279394,0.209557
10557.72,0.281212,0.212837
10558.16,0.281212,0.207452
10558.6,0.271515,0.201998
10559.04,0.281212,0.181841
10559.48,0.272301,0.174323
10559.92,0.276384,0.162523
10560.36,0.288847,0.153475
10560.8,0.287594,0.149333
10561.24,0.271777,0.15553
10561.68,0.270928,0.158753
10562.12,0.269091,0.17165
10562.56,0.261818,0.186011
10563,0.264242,0.195579
10563.44,0.271515,0.197916
10563.88,0.278788,0.188451
10564.32,0.287273,0.174014
10564.76,0.290303,0.164473
10565.2,0.283637,0.162699
10565.64,0.283637,0.160511
10566.08,0.292727,0.156491
10566.52,0.295152,0.159222
10566.96,0.285455,0.167996
10567.4,0.278788,0.173575
10567.84,0.278788,0.174209
10568.28,0.283637,0.172183
10568.72,0.295152,0.167929
10569.16,0.303636,0.165606
10569.6,0.304849,0.164997
10570.04,0.297576,0.170821
10570.48,0.295152,0.178028
10570.92,0.283637,0.193573
10571.35,0.283637,0.198401
10571.79,0.27394,0.21103
10572.23,0.261818,0.233359
10572.67,0.269091,0.23305
10573.11,0.261411,0.234827
10577.94,0.181709,0.279379
10578.38,0.198005,0.284249
10579.7,0.208676,0.267791
10580.14,0.274468,0.261748
10580.58,0.271515,0.255493
10581.01,0.271515,0.240771
10581.45,0.261818,0.240058
10581.89,0.261818,0.239175
10582.33,0.264242,0.242756
10582.77,0.249697,0.264792
10583.21,0.249697,0.271482
10583.65,0.25697,0.266136
10584.08,0.254545,0.265364
10584.52,0.258182,0.251209
10584.96,0.267879,0.229944
10585.4,0.27394,0.210968
10585.84,0.27394,0.19824
10586.28,0.290303,0.174083
10586.71,0.292727,0.16018
10587.15,0.295152,0.151247
10587.59,0.283637,0.152402
10588.03,0.29394,0.144265
10588.47,0.3,0.140373
10588.91,0.289697,0.145511
10589.34,0.283637,0.14871
10589.78,0.285455,0.148211
10590.22,0.283637,0.148143
10590.66,0.287879,0.145308
10591.1,0.283637,0.147064
10591.53,0.292727,0.141127
10591.97,0.290303,0.140427
10592.41,0.285455,0.142736
10592.85,0.289091,0.141896
10593.29,0.283637,0.146476
10593.72,0.283637,0.146732
