,Depth,Air Permeability,Corrected Perm,porosity,Klinkenberg Perm
50,10313.7,0.6,0.5361412115148684,10.379,0.5306969949410093
51,10314.8,0.9,0.8042009778278322,10.185,0.7974337581681437
52,10315.5,1.5,1.3403234679190406,10.767,1.331107271094324
54,10317.6,0.2,0.17870519845100746,9.603,0.1758578063490383
58,10320.3,1.5,1.3402446704262738,9.796999999999999,1.3314070926812651
59,10321.1,4.6,4.110043395344592,10.185,4.0932902318620465
64,10324.9,0.6,0.5360676796356142,10.185,0.5306691400214261
65,10325.9,0.3,0.26803055956594124,10.088,0.26437977871176416
66,10326.5,0.4,0.35737145547344734,9.796999999999999,0.35313916971854636
69,10328.7,100.0,89.34045898965603,21.825,89.21084057787843
71,10330.4,49.0,43.775914544830755,22.212999999999997,43.68790747282338
72,10331.4,79.0,70.57663165239002,21.825,70.46287507275774
74,10332.2,110.0,98.27029779906206,22.697999999999997,98.13124617633054
75,10333.2,3.9,3.4840861344506977,24.056,3.461686756800215
76,10334.2,33.0,29.480368363712593,23.571,29.40777632447307
77,10334.7,270.0,241.20153938366062,24.929,240.9631927972589
78,10335.7,1.6,1.4293249816172058,15.132,1.4182161702301495
80,10336.5,19.0,16.97306817181932,20.467000000000002,16.922872361185235
81,10340.1,460.0,410.90883481246675,22.212999999999997,410.60483850457086
82,10341.1,380.0,339.4422813861132,24.056,339.15887298141155
83,10342.0,370.0,330.50595577901345,28.227,330.2060298326638
84,10342.7,430.0,384.09823171283625,26.578,383.78094330106313
86,10343.7,490.0,437.687987559697,27.354,437.3425063216652
87,10344.6,250.0,223.30774310340632,25.026,223.07895437061416
88,10345.7,170.0,151.84722548466718,24.832,151.66305661741225
89,10346.7,350.0,312.62282333065923,25.607999999999997,312.34436616220677
90,10347.5,430.0,384.0757171372863,27.16,383.75535456574045
92,10348.5,190.0,169.70580317465502,23.959,169.51304790333066
93,10349.5,400.0,357.2710138617845,26.675,356.9656903870056
94,10350.4,460.0,410.8571525704593,26.287,410.5294319448084
95,10351.4,320.0,285.8101831561847,26.481,285.5412100969219
96,10352.4,190.0,169.69772538086247,24.637999999999998,169.50255507001532
98,10353.0,350.0,312.59878443583375,25.996,312.31846280581533
99,10354.0,270.0,241.14469146084838,24.444,240.90845769711487
100,10355.0,160.0,142.89881455853575,22.988999999999997,142.72676160131275
101,10356.1,270.0,241.1385138930049,24.735,240.9010317418504
102,10356.8,100.0,89.30979816664663,23.28,89.17641698594925
104,10357.6,350.0,312.5812437200704,25.317,312.3042245921761
105,10358.1,270.0,241.1326319433353,24.832,240.89473757224724
106,10362.2,160.0,142.8862686576807,22.503999999999998,142.71585413057335
107,10363.2,270.0,241.1176393606885,21.534,240.89441983606008
108,10364.1,100.0,89.30184983806622,19.787999999999997,89.17780780710568
110,10365.0,710.0,634.03617976176,21.243,633.6573622534414
111,10366.0,1600.0,1428.7965157783103,22.697999999999997,1428.184878182565
112,10367.1,1000.0,892.9858541864431,23.668,892.5053595181324
113,10367.5,1300.0,1160.875953268096,23.862000000000002,1160.318372331346
114,10368.5,710.0,634.0091432139244,23.571,633.612321950352
116,10369.6,680.0,607.2118885647786,22.697999999999997,606.830913895086
117,10370.1,620.0,553.6309974693412,22.697999999999997,553.2690060076048
118,10371.0,470.0,419.6834141080142,23.862000000000002,419.36584590032436
119,10372.0,130.0,116.08123287307876,24.444,115.92362011379073
120,10373.4,920.0,821.4839523899827,25.705,821.0079003109581
122,10374.5,1200.0,1071.4864583759006,26.384,1070.9285655600854
123,10375.1,1100.0,982.1887463628774,26.287,981.6579495196419
124,10375.5,1100.0,982.1839641055819,27.063,981.6462246598531
125,10376.6,250.0,223.2206395631239,25.122999999999998,222.99150475207398
126,10377.6,680.0,607.1527504413394,24.832,606.7561937280295
128,10378.5,530.0,473.21681397057085,24.637999999999998,472.8725473684226
129,10379.5,200.0,178.5702098386246,22.212999999999997,178.37853176619768
130,10380.5,650.0,580.3461212462006,26.384,579.948732292435
131,10381.3,350.0,312.4910240685695,24.25,312.21932472125496
132,10382.3,1300.0,1160.6668281186016,28.032999999999998,1160.0676962801376
134,10382.6,1900.0,1696.3530204228991,28.323999999999998,1695.6105135252644
135,10383.3,2600.0,2321.3054227663665,29.099999999999998,2320.411504331072
