,DEPTH,TVD,Rt,density_porosity,GR,Sw,Vshale
313,11490.000367679851,10401.39941,47.24391,0.2624309392265194,64.499,0.1281818471670445,0.16031568332734658
314,11490.50036769585,10401.8457,50.57119,0.2453038674033149,63.84,0.13254351855127994,0.15334182981478153
315,11491.000367711853,10402.29199,51.33065,0.2519337016574585,63.874,0.12809725623796847,0.1536991951386686
316,11491.50036772785,10402.73828,52.70784,0.23867403314917124,64.263,0.13343559477913014,0.15780672831565104
317,11492.000367743847,10403.18457,51.16532,0.23867403314917124,65.252,0.13543205175263942,0.16840754838672134
318,11492.500367759849,10403.63086,47.23592,0.2453038674033149,67.288,0.13714307810904472,0.1909617284656529
319,11493.000367775847,10404.07715,43.72416,0.2497237569060773,70.931,0.14002122726021146,0.2338949286338021
320,11493.500367791848,10404.52344,41.30619,0.2497237569060773,74.344,0.14406120664836275,0.2773222651773405
321,11494.000367807848,10404.96973,39.01744,0.2453038674033149,75.262,0.15089703153486428,0.2895633799012501
322,11494.500367823848,10405.41504,36.98366,0.2453038674033149,74.908,0.15499052095723356,0.2848139915346333
323,11495.000367839848,10405.86133,34.43264,0.2453038674033149,74.882,0.16062935703808318,0.2844666050030282
324,11495.500367855848,10406.30762,32.046170000000004,0.2475138121546961,73.594,0.16501634819602806,0.2675010860184093
325,11496.000367871848,10406.75293,29.32108,0.2519337016574585,70.417,0.16948771629517026,0.2276294259066864
326,11496.50036788785,10407.19922,27.20314,0.2453038674033149,67.631,0.1807176471505326,0.19486059734886765
327,11497.000367903847,10407.64453,24.2769,0.2430939226519337,67.68,0.19303842294831525,0.1954199555070814
328,11497.500367919849,10408.09082,21.49889,0.2469613259668509,69.24,0.2019191503613925,0.21354313135694314
329,11498.000367935847,10408.53613,18.10239,0.2497237569060773,70.852,0.21761391322639687,0.23292738393866425
330,11498.500367951849,10408.98242,15.15482,0.23867403314917124,72.926,0.2488478621319032,0.2588874919344417
331,11499.000367967848,10409.42773,12.68475,0.2342541436464088,75.263,0.2771317213792065,0.2895768480861453
332,11499.500367983845,10409.87793,10.83565,0.2419889502762429,76.903,0.2902628514434507,0.3120633545299279
479,11573.000370335818,10475.71094,9.08088,0.2541436464088397,73.741,0.3019056579011563,0.26941344190559124
480,11573.500370351821,10476.15625,8.73357,0.2602209944751381,72.333,0.3006604078173099,0.2513450933367201
492,11579.500370543816,10481.50586,9.02331,0.253038674033149,76.867,0.30418979141209673,0.3115610939746619
493,11580.000370559817,10481.95117,9.76528,0.27348066298342544,76.453,0.2705487320900247,0.3058132599877143
494,11580.500370575815,10482.39648,10.08497,0.28011049723756914,76.442,0.2599248412658512,0.30566124410955
495,11581.000370591817,10482.84277,10.59879,0.2668508287292818,75.384,0.2661446727963872,0.2912086613030463
496,11581.500370607815,10483.28809,10.76473,0.2519337016574585,71.999,0.2797220089971908,0.2471395370591185
