,DEPTH,Rt,TVD,density_porosity,GR,Sw,Vshale
65,10732.500343439728,29.100990000000003,10654.5,0.28232044198895034,80.419,0.15181625361525958,0.2606554157867557
66,10733.000343455727,22.14411,10655.0,0.28232044198895034,78.056,0.17403758044241058,0.2060293429194141
67,10733.50034347173,23.03303,10655.5,0.29116022099447497,78.056,0.16546528826113366,0.2060293429194141
68,10734.000343487729,25.86043,10656.0,0.288950276243094,81.6,0.15735244381078134,0.2900091313219881
69,10734.500343503729,30.02045,10656.5,0.28232044198895034,80.419,0.14947327597812318,0.2606554157867557
70,10735.000343519729,36.94964,10657.0,0.28232044198895034,80.419,0.13473084892419712,0.2606554157867557
71,10735.500343535727,45.85718,10657.5,0.29116022099447497,79.392,0.11726779652565515,0.2362614337826622
72,10736.000343551726,54.40565,10658.0,0.30386740331491696,78.044,0.10315929392227087,0.20576524360169252
73,10736.500343567726,62.00389000000001,10658.5,0.3104972375690607,76.875,0.0945686671094584,0.18065156692272055
74,10737.000343583726,69.95076,10659.0,0.305524861878453,76.195,0.09048398146077294,0.16658824062277047
75,10737.500343599726,69.63435,10659.5,0.3016574585635358,75.694,0.09185200617863394,0.15647527648469195
76,10738.000343615726,61.87282,10660.0,0.29337016574585617,75.694,0.10019558280452937,0.15647527648469195
77,10738.500343631726,56.22119,10660.5,0.29337016574585617,76.875,0.10511108379266056,0.18065156692272055
78,10739.000343647725,51.79939,10661.0,0.30386740331491696,74.723,0.10572264986024264,0.13745774903081304
79,10739.500343663723,47.3391,10661.5,0.29723756906077337,72.15,0.1130578644805088,0.09058255213858646
80,10740.000343679723,42.17157,10662.0,0.2944751381215469,71.808,0.12090825638063052,0.08471664057395338
81,10740.500343695723,36.8241,10662.5,0.28232044198895034,70.969,0.13496031440306866,0.07067048960454808
82,10741.000343711723,29.92337,10663.0,0.2756906077348067,70.969,0.1533159206101171,0.07067048960454808
83,10741.500343727725,20.8863,10663.5,0.28011049723756914,69.788,0.18061521686121088,0.05170114386259599
84,10742.000343743724,17.99804,10664.0,0.2756906077348067,69.788,0.1976878144715844,0.05170114386259599
85,10742.500343759724,15.89219,10664.5,0.28011049723756914,69.788,0.2070585738556069,0.05170114386259599
86,10743.000343775724,13.02551,10665.0,0.28011049723756914,69.788,0.2287113537079206,0.05170114386259599
87,10743.500343791724,16.04465,10665.5,0.26906077348066304,69.788,0.21453540128077805,0.05170114386259599
88,10744.000343807724,23.16142,10666.0,0.28011049723756914,69.788,0.17151515564314315,0.05170114386259599
89,10744.500343823722,35.25584,10666.5,0.28011049723756914,69.788,0.1390175273004184,0.05170114386259599
90,10745.000343839722,39.24836,10667.0,0.28232044198895034,68.60600000000001,0.1307258260369481,0.03361494964682549
91,10745.50034385572,38.50069000000001,10667.5,0.27348066298342544,68.60600000000001,0.1362553603696589,0.03361494964682549
92,10746.00034387172,33.56662,10668.0,0.28011049723756914,68.60600000000001,0.14247257928488974,0.03361494964682549
93,10746.50034388772,30.22166,10668.5,0.2856353591160221,68.60600000000001,0.14724594760963133,0.03361494964682549
94,10747.000343903721,22.50591,10669.0,0.2867403314917128,68.60600000000001,0.1699720080983053,0.03361494964682549
95,10747.50034391972,17.21891,10669.5,0.2779005524861879,68.60600000000001,0.2005036296857478,0.03361494964682549
96,10748.00034393572,12.36316,10670.0,0.27348066298342544,70.07300000000001,0.2404490736494391,0.05619497612814908
97,10748.50034395172,9.53981,10670.5,0.26132596685082865,72.15,0.2864587211603418,0.09058255213858646
146,10773.000344735712,7.813110000000001,10695.0,0.2867403314917128,75.694,0.28847868178736663,0.15647527648469195
152,10776.000344831711,6.40263,10698.0,0.29723756906077337,74.846,0.30741961462492023,0.13982502727699467
170,10785.000345119708,12.79899,10707.0,0.31602209944751386,74.548,0.20450746877546927,0.13411021341395624
171,10785.500345135708,23.64472,10707.5,0.3193370165745855,73.331,0.1489011753683253,0.11148418152280803
172,10786.000345151708,29.721870000000006,10708.0,0.3060773480662982,72.538,0.13856234422138336,0.09733796918764427
173,10786.500345167708,37.28149000000001,10708.5,0.2878453038674033,71.559,0.13155540569153806,0.08049737713795377
174,10787.00034518371,39.38493,10709.0,0.2756906077348067,67.725,0.13363723073427725,0.02069415559063644
175,10787.500345199709,43.27743,10709.5,0.28453038674033154,66.244,0.12352506518556634,0.0
176,10788.000345215709,46.0353,10710.0,0.29558011049723737,66.244,0.11529056863656373,0.0
177,10788.500345231707,51.4337,10710.5,0.3082872928176795,66.244,0.10457670872493044,0.0
178,10789.000345247707,55.90315,10711.0,0.3171270718232043,67.425,0.09751311269954054,0.016399961581193518
179,10789.500345263708,57.17869,10711.5,0.3193370165745855,68.747,0.09575205712577822,0.03572660647603376
180,10790.000345279706,58.17378000000001,10712.0,0.3193370165745855,69.788,0.0949295826563418,0.05170114386259599
181,10790.500345295706,54.54336,10712.5,0.30386740331491696,70.969,0.10302898434377593,0.07067048960454808
182,10791.000345311706,51.89658,10713.0,0.3082872928176795,71.633,0.10410928978637866,0.08174679200880937
183,10791.500345327706,49.48538,10713.5,0.29944751381215456,72.15,0.10976283376342456,0.09058255213858646
184,10792.000345343706,47.65836,10714.0,0.29392265193370165,73.331,0.1139493554706815,0.11148418152280803
185,10792.500345359706,46.82935,10714.5,0.29116022099447497,69.788,0.11604418212887115,0.05170114386259599
186,10793.000345375704,46.08429,10715.0,0.288950276243094,69.26,0.11787315628221552,0.04351344689205275
