,Rt,DEPTH,density_porosity,TVD,GR,Sw,Vshale
35,10.60799,10901.500348847663,0.26906077348066304,10288.03516,62.275,0.2638441929346144,0.26777761841417835
36,10.58699,10902.000348863665,0.27127071823204424,10288.50879,60.7,0.2619541653143426,0.2295902346391732
37,10.62558,10902.500348879665,0.2773480662983424,10288.98145,60.7,0.2557484511327975,0.2295902346391732
38,10.6314,10903.000348895665,0.27845303867403315,10289.4541,61.265,0.2546638417494427,0.24300016856658102
39,10.43752,10903.500348911664,0.27348066298342544,10289.92676,61.488,0.26169124466680704,0.2483809632110543
40,10.26878,10904.000348927664,0.27624309392265195,10290.40039,62.275,0.26119425657284284,0.26777761841417835
41,10.12837,10904.500348943664,0.2718232044198895,10290.87305,62.275,0.26727489660587755,0.26777761841417835
42,10.07762,10905.000348959662,0.27348066298342544,10291.3457,62.275,0.2663231163468307,0.26777761841417835
43,9.94737,10905.500348975662,0.2740331491712707,10291.81836,63.85,0.2675206059798712,0.3085709738257685
44,9.818,10906.000348991663,0.28011049723756914,10292.29102,63.85,0.26343506308295106,0.3085709738257685
45,9.77606,10906.50034900766,0.28232044198895034,10292.76367,63.85,0.2619330034288741,0.3085709738257685
46,9.51023,10907.00034902366,0.2751381215469612,10293.23633,63.062,0.27250106201952906,0.28782476223466663
47,9.33182,10907.50034903966,0.2679558011049723,10293.70898,61.769,0.2824672728105049,0.25523325625397497
48,9.1259,10908.000349055661,0.26906077348066304,10294.18164,59.912,0.28446329620239097,0.21140998860859464
49,8.90975,10908.50034907166,0.2718232044198895,10294.6543,59.125,0.2849674066936027,0.1938423471495058
50,8.69351,10909.00034908766,0.2696132596685083,10295.12695,60.7,0.29085440866835605,0.2295902346391732
51,8.443589999999999,10909.50034910366,0.2740331491712707,10295.59961,62.238,0.2903673674426661,0.2668513000611644
52,8.20054,10910.00034911966,0.2696132596685083,10296.07227,63.85,0.2994690910438614,0.3085709738257685
76,11.31584,10922.000349503656,0.26740331491712704,10307.41016,63.85,0.257042118159269,0.3085709738257685
77,12.31561,10922.500349519656,0.26519337016574585,10307.88184,63.479,0.24844133308181915,0.2987180203960591
78,12.4544,10923.000349535656,0.26906077348066304,10308.35449,63.062,0.2435020859361912,0.28782476223466663
79,12.57986,10923.500349551656,0.2696132596685083,10308.82617,63.062,0.2417883246920722,0.28782476223466663
80,12.74098,10924.000349567656,0.26740331491712704,10309.29883,59.912,0.24224023182605706,0.21140998860859464
81,12.62895,10924.500349583655,0.26298342541436465,10309.77051,59.511,0.24740158488887504,0.20238635036197028
82,12.27406,10925.000349599655,0.2580110497237569,10310.24316,59.125,0.2557891098343993,0.1938423471495058
83,11.68214,10925.500349615655,0.2524861878453038,10310.71484,59.125,0.2679264863757371,0.1938423471495058
84,10.71609,10926.000349631657,0.2618784530386739,10311.1875,60.7,0.2697096802768438,0.2295902346391732
85,9.61335,10926.500349647657,0.26298342541436465,10311.65918,59.912,0.283562451432996,0.21140998860859464
86,8.660210000000001,10927.000349663656,0.26298342541436465,10312.13086,59.125,0.2987596126682358,0.1938423471495058
