,DEPTH,Rt,GR,TVD,density_porosity,Sw,Vshale
42,10621.0003398719,20.226,63.306,10142.87109,0.225414364640884,0.22807510713384035,0.2563423445446095
43,10621.5003398879,20.113,64.649,10143.32715,0.2259668508287292,0.22815569688640724,0.2747985881360623
44,10622.0003399039,20.34,67.335,10143.7832,0.2176795580110498,0.2355165093739788,0.31347219808827065
48,10624.0003399679,20.801,67.457,10145.60742,0.22375690607734794,0.2265666179725016,0.31528633478503715
49,10624.5003399839,20.569000000000006,67.09100000000001,10146.06348,0.2292817679558012,0.2223506310126096,0.3098592109682333
50,10625.0003399999,20.801,65.259,10146.51953,0.2359116022099448,0.2148933964376185,0.2833723180322398
51,10625.500340015898,20.685,61.963,10146.97559,0.22375690607734794,0.22720101449481986,0.2384493180872391
52,10626.000340031898,20.801,57.68899999999999,10147.43164,0.21823204419889505,0.2323024817186408,0.18506001751931
53,10626.500340047898,20.918000000000006,55.98,10147.8877,0.225414364640884,0.2242708399819666,0.16514259318307384
54,10627.000340063898,20.569000000000006,55.369,10148.34375,0.2287292817679556,0.22288770983148085,0.15821021433728674
55,10627.500340079898,20.685,55.736,10148.7998,0.2243093922651932,0.2266414060847341,0.16236245160575746
56,10628.000340095898,20.569000000000006,56.224,10149.25586,0.2193370165745855,0.23243201982426465,0.16793843292576566
57,10628.500340111896,20.34,54.75899999999999,10149.71191,0.2176795580110498,0.2355165093739788,0.15138600270068847
58,10629.000340127895,20.454,56.346,10150.16797,0.2298342541436464,0.22243882670634246,0.16934226728968202
59,10629.500340143897,20.226,55.369,10150.62402,0.23701657458563524,0.21691059140001606,0.15821021433728674
60,10630.000340159897,19.666,58.3,10151.08008,0.2337016574585636,0.22309748131395687,0.19237365223014544
61,10630.500340175897,19.338,61.108,10151.53613,0.2337016574585636,0.2249815511670095,0.22734352898329
62,10631.000340191897,19.016,58.788,10151.99219,0.2281767955801104,0.2323717967500709,0.1982895089682059
63,10631.500340207895,18.594,59.887,10152.44824,0.22265193370165748,0.2408250131247517,0.21185880439730448
64,10632.000340223896,18.079,61.23,10152.9043,0.22486187845303868,0.2418307041737527,0.2289148437217321
65,10632.500340239896,18.079,61.352,10153.36035,0.2276243093922652,0.23889586553086745,0.2304905884568979
66,10633.000340255896,17.678,65.382,10153.81641,0.22099447513812148,0.2488378818909343,0.2851157888682529
67,10633.500340271896,17.579,64.771,10154.27246,0.22375690607734794,0.2464568797328689,0.2765036925930224
68,10634.000340287896,17.285999999999998,63.306,10154.72852,0.22375690607734794,0.2485368413144542,0.2563423445446095
69,10634.500340303897,16.903,65.015,10155.18555,0.225414364640884,0.2494887650250924,0.27992833662725913
70,10635.000340319897,16.714000000000002,64.405,10155.6416,0.22099447513812148,0.25591330280645563,0.2714027467684875
71,10635.500340335895,16.62,66.358,10156.09766,0.2270718232044199,0.2497673812986484,0.2991269943037147
82,10641.000340511891,17.383,62.94,10161.11426,0.2414364640883977,0.22969378801885176,0.2514109639599907
83,10641.500340527891,17.977999999999994,60.986,10161.57031,0.2430939226519337,0.2243208735648388,0.2257766317872247
84,10642.000340543891,17.878,62.451,10162.02637,0.2486187845303865,0.21994853408529288,0.2448869795471831
85,10642.500340559893,17.977999999999994,64.771,10162.4834,0.2441988950276241,0.2233058469876224,0.2765036925930224
86,10643.000340575893,17.189,67.09100000000001,10162.93945,0.2475138121546961,0.22531480654467004,0.3098592109682333
97,10648.500340751889,18.079,64.161,10167.95703,0.2265193370165744,0.240061211216384,0.26802597247352145
98,10649.000340767889,17.977999999999994,61.596,10168.41309,0.2276243093922652,0.2395659814770123,0.2336554179104472
