,DEPTH,density_Porosity,Rt,TVD,GR,Sw,Vshale
525,10595.500339055778,0.2502762430939225,44.30601,10517.5,89.869,0.1387917109267529,0.2135741540931345
526,10596.000339071776,0.2480662983425413,45.92484,10518.0,90.604,0.13753805710929973,0.2230329879437148
527,10596.500339087776,0.2464088397790053,42.64281,10518.5,91.05,0.14369289203758664,0.2288526931837587
528,10597.000339103775,0.2524861878453038,39.92537,10519.0,89.09899999999998,0.14492802610459113,0.20383837115087405
529,10597.500339119775,0.2541436464088397,38.58978,10519.5,87.506,0.14645326866313638,0.18424669135367008
530,10598.000339135777,0.2519337016574585,39.86828,10520.0,86.63,0.14534980704197695,0.17378122817733327
531,10598.500339151777,0.2502762430939225,44.00908,10520.5,86.325,0.13925913881556454,0.17018764096006705
532,10599.000339167776,0.2475138121546961,47.33268,10521.0,88.68700000000003,0.1357795892399627,0.19870090724474632
533,10599.500339183776,0.2430939226519337,50.95137,10521.5,91.05,0.13324853491643834,0.2288526931837587
534,10600.000339199776,0.2469613259668509,53.35773,10522.0,91.759,0.1281701393227223,0.2382305187965725
535,10600.500339215776,0.2580110497237569,53.66535,10522.5,89.869,0.1223289332199726,0.2135741540931345
536,10601.000339231776,0.26519337016574585,55.0573,10523.0,85.852,0.11750175676397495,0.16466527079517576
537,10601.500339247776,0.2662983425414363,55.53095,10523.5,87.506,0.1165140939228809,0.18424669135367008
538,10602.000339263775,0.26519337016574585,49.75676,10524.0,94.594,0.12360207690475968,0.27732784076183137
539,10602.500339279775,0.2668508287292818,48.93229,10524.5,96.484,0.1238648699073166,0.3048760540527259
540,10603.000339295777,0.26906077348066304,46.74429,10525.0,96.484,0.12568973397339314,0.3048760540527259
541,10603.500339311777,0.2662983425414363,49.71627,10525.5,96.484,0.1231393182637273,0.3048760540527259
542,10604.000339327777,0.2646408839779006,54.38433000000001,10526.0,96.116,0.11847334413311685,0.2994159306039719
543,10604.500339343776,0.2585635359116022,68.08845,10526.5,95.775,0.10837034977886108,0.2943983399495361
544,10605.000339359774,0.25966850828729265,69.21863,10527.0,95.775,0.10702461999229047,0.2943983399495361
545,10605.500339375774,0.2685082872928176,69.33691,10527.5,96.117,0.1034128580735332,0.299430704083063
546,10606.000339391774,0.2740331491712707,63.22502,10528.0,96.484,0.10611258339109192,0.3048760540527259
547,10606.500339407774,0.2839779005524861,57.15364,10528.5,96.131,0.10769808611943152,0.29963756920374274
548,10607.000339423774,0.2812154696132596,52.92706999999999,10529.0,95.775,0.11301506613490295,0.2943983399495361
549,10607.500339439774,0.2740331491712707,45.55214,10529.5,92.231,0.12501351986963413,0.2445606746144686
550,10608.000339455772,0.2696132596685083,42.78259,10530.0,89.869,0.13111117025064228,0.2135741540931345
551,10608.500339471773,0.25635359116022105,45.10008,10530.5,90.896,0.13430321695051994,0.2268363086456022
552,10609.000339487773,0.2458563535911601,49.90187,10531.0,91.759,0.13312960114227326,0.2382305187965725
553,10609.500339503771,0.23701657458563524,53.32843,10531.5,94.329,0.13358458968209613,0.27356202493019993
554,10610.000339519771,0.2265193370165744,56.55579,10532.0,96.484,0.13572837787381833,0.3048760540527259
555,10610.50033953577,0.21988950276243105,57.62505,10532.5,96.956,0.13851739720456022,0.3119486490898881
556,10611.000339551772,0.2176795580110498,51.62876,10533.0,93.412,0.14782605360014467,0.2607101689583967
557,10611.500339567772,0.2270718232044199,50.77962,10533.5,93.412,0.14289153673813154,0.2607101689583967
558,10612.000339583772,0.2436464088397789,51.73866,10534.0,92.94,0.13193100609076766,0.2542020879533202
559,10612.500339599772,0.2580110497237569,54.11133,10534.5,90.992,0.12182377898478244,0.2280924199210993
560,10613.000339615772,0.26132596685082865,51.00208,10535.0,89.869,0.12389048904231315,0.2135741540931345
561,10613.500339631772,0.25911602209944745,51.29921,10535.5,90.512,0.12458474591691535,0.2218400715652537
562,10614.000339647771,0.2535911602209945,47.78973,10536.0,91.05,0.13189036741699525,0.2288526931837587
563,10614.500339663771,0.2524861878453038,41.18079,10536.5,91.809,0.14270182100439915,0.23889777001718665
564,10615.000339679771,0.2502762430939225,38.45179,10537.0,92.747,0.14898294990144376,0.2515616433244877
565,10615.50033969577,0.2453038674033149,35.145340000000004,10537.5,94.121,0.15899234227693554,0.2706225788291425
566,10616.00033971177,0.2441988950276241,34.09795,10538.0,95.775,0.16214615249939487,0.2943983399495361
567,10616.50033972777,0.24088397790055244,34.91182,10538.5,96.956,0.16245022527504133,0.3119486490898881
568,10617.00033974377,0.23646408839779,38.20513,10539.0,95.302,0.1581934298208817,0.2875046095148405
569,10617.50033975977,0.2453038674033149,40.01793,10539.5,95.46,0.14899880038924304,0.2897988703012571
570,10618.00033977577,0.2580110497237569,49.44392,10540.0,95.775,0.12744409685653202,0.2943983399495361
571,10618.50033979177,0.2668508287292818,57.99347,10540.5,96.172,0.11377749654106625,0.3002437796677232
572,10619.00033980777,0.26353591160220985,71.31447,10541.0,96.484,0.10389289390352237,0.3048760540527259
573,10619.500339823771,0.2679558011049723,77.64299,10541.5,95.09,0.09792648987155617,0.28443957087567184
574,10620.000339839771,0.2718232044198895,89.20987,10542.0,93.412,0.09005783371346103,0.2607101689583967
575,10620.500339855771,0.2723756906077348,106.55885,10542.5,90.577,0.08223399143704226,0.22268262581967235
576,10621.000339871767,0.2696132596685083,111.93724,10543.0,90.137,0.08105614273059575,0.21700420207253807
577,10621.500339887769,0.26906077348066304,115.52132,10543.5,89.869,0.0799526788422035,0.2135741540931345
578,10622.000339903769,0.27127071823204424,117.59933999999998,10544.0,94.594,0.07859756974716338,0.27732784076183137
579,10622.500339919769,0.2718232044198895,120.59716,10544.5,96.879,0.07745677470870192,0.3107895019251943
586,10626.000340031767,0.2618784530386739,78.70767,10548.0,97.457,0.09951904100314247,0.31954200836855057
587,10626.500340047769,0.2569060773480662,73.37346,10548.5,95.775,0.10506803246622956,0.2943983399495361
588,10627.000340063769,0.2519337016574585,66.32566,10549.0,93.947,0.11269052943476444,0.2681746187996997
589,10627.500340079769,0.2491712707182321,61.80759000000001,10549.5,91.759,0.11803086916838484,0.2382305187965725
590,10628.000340095768,0.2508287292817678,53.24607,10550.0,91.413,0.12632619634920408,0.23363453676030305
591,10628.500340111766,0.2558011049723757,46.7889,10550.5,90.577,0.13214192935929014,0.22268262581967235
592,10629.000340127766,0.2618784530386739,43.78713,10551.0,89.844,0.13342630835826638,0.2132552857913253
593,10629.500340143766,0.26132596685082865,39.76713,10551.5,88.68700000000003,0.14030391409803644,0.19870090724474632
594,10630.000340159766,0.2602209944751381,37.37811,10552.0,87.43799999999997,0.14533274487016393,0.18342657808299084
595,10630.500340175766,0.2585635359116022,35.03683,10552.5,86.325,0.15107228429589822,0.17018764096006705
596,10631.000340191766,0.2569060773480662,33.4702,10553.0,86.325,0.15556466047295178,0.17018764096006705
597,10631.500340207764,0.2524861878453038,31.61765,10553.5,86.325,0.16285911041041293,0.17018764096006705
598,10632.000340223763,0.2436464088397789,31.25115,10554.0,85.169,0.16975456454856555,0.156798515495857
599,10632.500340239765,0.2337016574585636,31.05495,10554.5,84.671,0.17753634208132754,0.15114155914665156
600,10633.000340255765,0.2243093922651932,32.31279,10555.0,84.163,0.1813342287187636,0.14543873531471238
601,10633.500340271765,0.2303867403314916,34.88774,10555.5,83.962,0.16991064109935095,0.14320101127479398
602,10634.000340287763,0.23093922651933685,39.12156,10556.0,83.12899999999998,0.16006953678800553,0.13403897651201555
603,10634.500340303763,0.2314917127071824,40.48798,10556.5,82.309,0.156969752761144,0.12519320685789054
604,10635.000340319764,0.2331491712707181,41.43631,10557.0,78.765,0.1540600605999748,0.0888610047126812
605,10635.500340335764,0.23480662983425404,37.2502,10557.5,76.875,0.16133916969869885,0.07068600468959788
606,10636.000340351764,0.2292817679558012,33.88916,10558.0,76.875,0.17322658878239555,0.07068600468959788
607,10636.500340367764,0.2243093922651932,31.314020000000006,10558.5,76.875,0.1842033847784603,0.07068600468959788
