,DEPTH,Rt,density_porosity,TVD,GR,Sw,Vshale
662,11874.500379983516,46.61599,0.2834254143646408,10601.17285,71.725,0.0735370607989462,0.11843253914798756
663,11875.000379999517,44.67537,0.2828729281767956,10601.62305,71.725,0.07526395718439494,0.11843253914798756
664,11875.500380015515,42.78334,0.2817679558011049,10602.07422,72.29,0.07721178088861777,0.12250679788836515
665,11876.000380031515,42.75788,0.2696132596685083,10602.52441,72.46300000000002,0.08071666033460388,0.12376170124007985
666,11876.500380047517,41.18512,0.2701657458563535,10602.97461,72.75399999999998,0.08207522116198296,0.12588040544241286
667,11877.000380063515,40.86459,0.2707182320441988,10603.42578,73.09899999999998,0.08222832347062582,0.12840509155408394
668,11877.500380079517,43.83283,0.27679558011049715,10603.87598,74.367,0.07765217188927499,0.13780495181851346
669,11878.000380095515,47.6944,0.2861878453038673,10604.32617,77.869,0.07199919388964389,0.16477915849213368
670,11878.500380111514,48.52004,0.28950276243093925,10604.77734,78.812,0.07056660544972551,0.17230478633882612
671,11879.000380127514,48.68617,0.28950276243093925,10605.22754,78.812,0.07044610667206999,0.17230478633882612
672,11879.500380143512,47.92341,0.29171270718232045,10605.67773,78.812,0.07046659875668022,0.17230478633882612
673,11880.000380159514,46.86609,0.2900552486187845,10606.12891,78.812,0.0716642275592962,0.17230478633882612
674,11880.500380175516,43.3051,0.2944751381215469,10606.5791,77.632,0.0734335217436759,0.16290557205534054
675,11881.000380191514,41.15287,0.30276243093922656,10607.03027,77.238,0.07326734698850583,0.15980652156551653
676,11881.500380207512,40.14776,0.3005524861878453,10607.48047,77.238,0.07472424389707052,0.15980652156551653
677,11882.000380223513,38.9069,0.2944751381215469,10607.93066,77.238,0.07747303419707854,0.15980652156551653
678,11882.500380239511,37.74569,0.28950276243093925,10608.38184,76.313,0.08000665571977562,0.1526071856372461
679,11883.000380255513,36.40825,0.2883977900552485,10608.83203,73.968,0.08177502457857451,0.13482651048274874
680,11883.500380271511,35.04058,0.2928176795580109,10609.28223,72.81,0.08209743263368457,0.12628926221256512
681,11884.000380287507,35.110440000000004,0.2944751381215469,10609.7334,72.02,0.08155408952696996,0.12055520948591415
682,11884.500380303509,34.40521,0.2944751381215469,10610.18359,70.48100000000002,0.08238568805372926,0.10959079436461704
683,11885.000380319507,32.91673,0.3071823204419889,10610.63477,71.308,0.08074357131179251,0.11544906683485118
684,11885.50038033551,29.76359,0.30276243093922656,10611.08496,74.722,0.08615249781764661,0.14047098365444075
685,11886.000380351508,29.42341,0.3044198895027623,10611.53516,76.15899999999998,0.08617732080760437,0.1514189109098958
686,11886.50038036751,29.378190000000004,0.29944751381215456,10611.98633,76.998,0.08767570858387284,0.15792833221597827
687,11887.000380383508,27.076690000000006,0.2966850828729281,10612.43652,78.055,0.0921762459218255,0.1662545545576892
688,11887.50038039951,26.80783,0.29171270718232045,10612.8877,78.977,0.09421636308745332,0.17363328924139526
